id,domain,subject,label,value,truth_class,verification_state,geometry_write_authority,source_ids,caveat
"kn.khafre.official.height","architecture","khafre_pyramid","Official original-height summary","143.5 m","PUBLISHED_SUMMARY","CONFIRMED_SOURCE","NONE_CONFLICT_PRESERVED","src.egypt_ministry","Official summary coexists with detailed survey reconstruction."
"kn.khafre.material.core","materials","khafre_pyramid","Core/backing stone","Local fossiliferous limestone","PUBLISHED_OBSERVATION","CROSS_SOURCE_CONFIRMED","MATERIAL_CONTEXT_ONLY","src.egypt_ministry;src.npj2020.materials","Material context does not write block geometry."
"kn.khafre.material.casing","materials","khafre_pyramid","Casing system","Fine Tura limestone survives at upper levels; published materials study reports granite at base courses","PUBLISHED_OBSERVATION","CROSS_SOURCE_CONFIRMED","MATERIAL_CONTEXT_ONLY","src.egypt_ministry;src.npj2020.materials","Course-by-course extent still requires survey evidence."
"kn.khafre.orientation","survey","khafre_pyramid","Casing-foundation orientation prior","-4.45 arcmin derived rigid-square prior","SURVEY_DERIVED","SURVEY_RECEIPT_CONFIRMED","ORIENTATION_PRIOR_ONLY","src.nell_ruggles2014","Translation/elevation unresolved; individual side residuals retained."
"kn.khafre.belzoni.date","exploration_history","khafre_interior","Belzoni entry date","2 March 1818","DOCUMENTED_EVENT","CROSS_SOURCE_CONFIRMED","NONE","src.britishmuseum.belzoni_medal;src.perring1840.khafre","Historical event only."
"kn.khafre.burial_chamber.roof","architecture","khafre_burial_chamber","Burial chamber roof form","Rock-excavated chamber with angular/gabled compact-stone roof blocks","HISTORICAL_PRIMARY_OBSERVATION","CONFIRMED_SOURCE","HISTORICAL_CROSSCHECK_ONLY","src.perring1840.khafre","Modern metric geometry requires survey confirmation."
"kn.khafre.sarcophagus.setting","architecture","khafre_sarcophagus","Sarcophagus setting","Sunk into western floor zone with surrounding granite and granite bedding slab","HISTORICAL_PRIMARY_OBSERVATION","CONFIRMED_SOURCE","HISTORICAL_CROSSCHECK_ONLY","src.perring1840.khafre","Do not infer hidden passages from nineteenth-century analogy."
"kn.khafre.lower_chamber.water_stain","condition_history","khafre_lower_chamber","Historic water stain","Perring reported an approximately 12-inch water-stain height","HISTORICAL_PRIMARY_OBSERVATION","CONFIRMED_SOURCE","NONE","src.perring1840.khafre","Not a modern groundwater level or evidence of a hydraulic system."
"kn.khafre.valley.materials","materials","khafre_valley_temple","Valley Temple materials","Massive limestone blocks encased in granite, alabaster floors, monolithic granite pillars","OFFICIAL_SUMMARY","CONFIRMED_SOURCE","MATERIAL_CONTEXT_ONLY","src.egypt_ministry","Detailed stone-by-stone provenance needs ARCE/survey records."
"kn.khafre.valley.finds","archaeology","khafre_valley_temple","Digital Giza find inventory","17 indexed finds","CATALOG_FACT","CONFIRMED_SOURCE","NONE","src.digitalgiza.khafre_valley_temple","Catalog count, not excavation-total completeness."
