id,domain,target,source_id,source_locator,truth_class,claim,geometry_write_authority,confidence,ingested_at,guard,numeric_json
obs.petrie.base_mean,survey,khafre_pyramid,src.petrie1883,"ch. VIII §66, p.97",MEASURED,Petrie reported a mean Khafre base side of 8474.9 inches.,EXISTING_CANONICAL_MEASUREMENT,HIGH,2026-09-12,,"{""value"":8474.9,""unit"":""in"",""si_value"":215.26246,""si_unit"":""m""}"
obs.ministry.height,architecture,khafre_pyramid,src.egypt_ministry,official monument page,PUBLISHED_SUMMARY,Egyptian Ministry monument record gives Khafre original height as 143.5 m.,CONFLICT_PRESERVED_NO_SILENT_OVERRIDE,HIGH_SOURCE_SUMMARY,2026-09-12,,"{""value"":143.5,""unit"":""m""}"
obs.ministry.core_material,materials,khafre_pyramid,src.egypt_ministry,official monument page,PUBLISHED_OBSERVATION,Core masonry is described as local limestone; preserved upper casing as high-quality Tura limestone.,MATERIAL_CONTEXT_ONLY,HIGH,2026-09-12,,
obs.ministry.valley_materials,materials,khafre_valley_temple,src.egypt_ministry,official monument page,PUBLISHED_OBSERVATION,"Valley temple described as massive limestone blocks encased in granite, alabaster floors, and monolithic granite pillars.",CONTEXT_ONLY,HIGH,2026-09-12,,
obs.dash.khafre_baseline_definition,survey,khafre_casing,src.dash.corner_conundrum,"AERAGRAM 13:1, p.19",FIELD_SURVEY_INTERPRETATION,Khafre baseline is described as a vertical cut at the foot of the lowest granite casing course where the pyramid slope met the surrounding pavement.,CONSTRAINT_CONTEXT_REVIEW_REQUIRED,HIGH,2026-09-12,,
obs.gpmp.loop_closure,survey,giza_plateau,src.aera.gpmp,Glen Dash Foundation Survey / GPMP summary,SURVEY_METHOD_METRIC,"GPMP survey-control loop is reported as closing to one part in 326,762, supporting approximately centimeter-scale control-point location capability near the plateau.",SURVEY_FRAME_CONTEXT_ONLY,HIGH,2026-09-12,,"{""closure_ratio"":326762,""stated_point_location_scale"":1,""stated_point_location_unit"":""cm""}"
obs.arce.map_scales,survey,sphinx_khafre_context,src.aera.online_data,AERA Online Data archive inventory,ARCHIVE_INVENTORY,"ARCE archive includes Sphinx master plan/elevations at 1:50, Khafre Valley/Sphinx temple maps at 1:100, wider topographic/geological maps at 1:200, and detailed masonry sections at 1:20 and 1:10.",ARCHIVE_ACQUISITION_ONLY,HIGH,2026-09-12,,"{""map_scales"":[""1:50"",""1:100"",""1:200"",""1:1000"",""1:20"",""1:10""]}"
obs.arce.archive_media_counts,imagery,sphinx_khafre_context,src.aera.online_data,AERA Online Data archive inventory,ARCHIVE_INVENTORY,"ARCE Sphinx archive inventory reports 5,000 slides and 2,716 black-and-white photographs.",NONE,HIGH,2026-09-12,,"{""slides"":5000,""black_white_photos"":2716}"
obs.arce.water_table_profile,hydrology,sphinx_khafre_context,src.aera.online_data,archive inventory,ARCHIVE_INVENTORY,Archive contains a Sphinx-area profile with water-table measurements taken during 1981–82.,NONE,HIGH,2026-09-12,,
obs.lehner.water_level_1981_82,hydrology,sphinx_khafre_context,src.lehner.sphinx1992,proceedings discussion of 1981–82 Sphinx water-table measurements,MEASURED_CONTEXT,Proceedings report that measured water level in the Sphinx vicinity was rather uniform at about elevation 15.50 m above sea level during the 1981–82 monitoring period.,NONE_CONTEXT_NOT_PYRAMID_INTERIOR,MEDIUM_HIGH,2026-09-12,Do not extrapolate this 1981-82 Sphinx-area level into Khafre pyramid or deep-claim geometry without hydrogeologic linkage.,"{""value"":15.5,""unit"":""m_above_sea_level""}"
