observation_id,domain,target,source_id,truth_class,geometry_write_authority,confidence,source_locator,claim,numeric_json
obs.petrie.base_mean,survey,khafre_pyramid,src.petrie1883,MEASURED,EXISTING_CANONICAL_MEASUREMENT,HIGH,"ch. VIII §66, p.97",Petrie reported a mean Khafre base side of 8474.9 inches.,"{""value"":8474.9,""unit"":""in"",""si_value"":215.26246,""si_unit"":""m""}"
obs.ministry.height,architecture,khafre_pyramid,src.egypt_ministry,PUBLISHED_SUMMARY,CONFLICT_PRESERVED_NO_SILENT_OVERRIDE,HIGH_SOURCE_SUMMARY,official monument page,Egyptian Ministry monument record gives Khafre original height as 143.5 m.,"{""value"":143.5,""unit"":""m""}"
obs.ministry.core_material,materials,khafre_pyramid,src.egypt_ministry,PUBLISHED_OBSERVATION,MATERIAL_CONTEXT_ONLY,HIGH,official monument page,Core masonry is described as local limestone; preserved upper casing as high-quality Tura limestone.,
obs.ministry.valley_materials,materials,khafre_valley_temple,src.egypt_ministry,PUBLISHED_OBSERVATION,CONTEXT_ONLY,HIGH,official monument page,"Valley temple described as massive limestone blocks encased in granite, alabaster floors, and monolithic granite pillars.",
obs.dash.khafre_baseline_definition,survey,khafre_casing,src.dash.corner_conundrum,FIELD_SURVEY_INTERPRETATION,CONSTRAINT_CONTEXT_REVIEW_REQUIRED,HIGH,"AERAGRAM 13:1, p.19",Khafre baseline is described as a vertical cut at the foot of the lowest granite casing course where the pyramid slope met the surrounding pavement.,
obs.gpmp.loop_closure,survey,giza_plateau,src.aera.gpmp,SURVEY_METHOD_METRIC,SURVEY_FRAME_CONTEXT_ONLY,HIGH,Glen Dash Foundation Survey / GPMP summary,"GPMP survey-control loop is reported as closing to one part in 326,762, supporting approximately centimeter-scale control-point location capability near the plateau.","{""closure_ratio"":326762,""stated_point_location_scale"":1,""stated_point_location_unit"":""cm""}"
obs.arce.map_scales,survey,sphinx_khafre_context,src.aera.online_data,ARCHIVE_INVENTORY,ARCHIVE_ACQUISITION_ONLY,HIGH,AERA Online Data archive inventory,"ARCE archive includes Sphinx master plan/elevations at 1:50, Khafre Valley/Sphinx temple maps at 1:100, wider topographic/geological maps at 1:200, and detailed masonry sections at 1:20 and 1:10.","{""map_scales"":[""1:50"",""1:100"",""1:200"",""1:1000"",""1:20"",""1:10""]}"
obs.arce.archive_media_counts,imagery,sphinx_khafre_context,src.aera.online_data,ARCHIVE_INVENTORY,NONE,HIGH,AERA Online Data archive inventory,"ARCE Sphinx archive inventory reports 5,000 slides and 2,716 black-and-white photographs.","{""slides"":5000,""black_white_photos"":2716}"
obs.arce.water_table_profile,hydrology,sphinx_khafre_context,src.aera.online_data,ARCHIVE_INVENTORY,NONE,HIGH,archive inventory,Archive contains a Sphinx-area profile with water-table measurements taken during 1981–82.,
obs.lehner.water_level_1981_82,hydrology,sphinx_khafre_context,src.lehner.sphinx1992,MEASURED_CONTEXT,NONE_CONTEXT_NOT_PYRAMID_INTERIOR,MEDIUM_HIGH,proceedings discussion of 1981–82 Sphinx water-table measurements,Proceedings report that measured water level in the Sphinx vicinity was rather uniform at about elevation 15.50 m above sea level during the 1981–82 monitoring period.,"{""value"":15.5,""unit"":""m_above_sea_level""}"
obs.material.kh_tensile,geomechanics,khafre_backing_limestone,src.npj2020.materials,LAB_MEASURED_SAMPLE_RANGE,NONE_MATERIAL_PRIOR,HIGH_WITH_SOURCE_INTERNAL_CONFLICT,splitting tensile strength results,Khafre/Chephren backing-limestone split tensile strength reported from 1.79 to 3.71 MPa.,"{""min"":1.79,""max"":3.71,""unit"":""MPa"",""representation"":""PARAGRAPH_REPORTED_RANGE""}"
obs.material.kh_shear,geomechanics,khafre_backing_limestone,src.npj2020.materials,LAB_MEASURED_SAMPLE_RANGE,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,single-shear results,Khafre/Chephren backing-limestone single-shear strength reported from 1.67 to 2.28 MPa.,"{""min"":1.67,""max"":2.28,""unit"":""MPa""}"
obs.material.giza_density,materials,giza_backing_limestone_context,src.npj2020.materials,LAB_MEASURED_CONTEXT_RANGE,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,physical-property results across three pyramids,Backing-limestone unit/bulk-density context across sampled Giza pyramid materials is reported approximately 1.99–2.31 g/cm³.,"{""min"":1.99,""max"":2.31,""unit"":""g/cm3""}"
obs.material.giza_porosity,materials,giza_backing_limestone_context,src.npj2020.materials,LAB_MEASURED_CONTEXT_RANGE,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,physical-property results across three pyramids,Total porosity across sampled backing limestone from the three Giza pyramids is reported around 21–33%.,"{""min"":21,""max"":33,""unit"":""percent""}"
